# Sensor Lenin Avenue, Кировский район, Russia (Citizen Science project sensor.community/50231)
# https://aqicn.org/station/@158917/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-09-30T00:00:00.000Z,1.5,60.28,5.35,3.58,15.39,11.121,109
2020-10-01T00:00:00.000Z,0.4,14.48,0.93,0.7,3.54,3.457,252
2020-10-02T00:00:00.000Z,0.6,3.85,1.89,1.3,2.6,0.762,256
2020-10-03T00:00:00.000Z,3,10.43,5.37,4.25,6.37,1.482,239
2020-10-04T00:00:00.000Z,0.25,12.98,4.09,3.22,5.28,2.092,294
2020-10-05T00:00:00.000Z,0.45,5.82,1.65,1.39,2.31,0.867,305
2020-10-06T00:00:00.000Z,0.9,11.27,2.6,1.75,5,2.318,322
2020-10-07T00:00:00.000Z,0.5,16,2.45,1.1,7.59,5,312
2020-10-08T00:00:00.000Z,0.35,9.3,2,1.1,3.15,1.376,300
2020-10-09T00:00:00.000Z,1.1,7.47,2.94,2,4.55,1.39,330
2020-10-10T00:00:00.000Z,4.78,22.48,11.6,8.15,14.02,3.842,387
2020-10-11T00:00:00.000Z,5.25,17.7,11.48,8.26,13.12,2.946,296
2020-10-12T00:00:00.000Z,0.68,24.2,13.7,10.95,16.75,5.363,327
2020-10-13T00:00:00.000Z,0.32,9.88,1.6,0.9,2.5,1.44,375
2020-10-14T00:00:00.000Z,0.4,7.62,2.6,1.4,4.21,1.686,369
2020-10-15T00:00:00.000Z,0.1,12.48,4.29,1,8.96,4.104,372
2020-10-16T00:00:00.000Z,0.7,24.9,6.2,3,11.05,5.277,391
2020-10-17T00:00:00.000Z,4.22,11.7,7.25,6.23,7.73,1.378,388
2020-10-18T00:00:00.000Z,0.3,8.4,0.9,0.7,1.45,1.89,394
2020-10-19T00:00:00.000Z,0.56,17.64,2.71,1.2,9.11,4.014,408
2020-10-20T00:00:00.000Z,3.67,13.15,8.89,7.45,9.88,1.966,434
2020-10-21T00:00:00.000Z,2,12.95,4.4,3.3,6.47,1.893,418
2020-10-22T00:00:00.000Z,0.6,40.54,5.18,2,9.19,9.308,405
2020-10-23T00:00:00.000Z,2.58,22.88,4.93,4.18,6.68,3.15,380
2020-10-24T00:00:00.000Z,0.3,11.57,3.44,1.5,6.6,2.787,400
2020-10-25T00:00:00.000Z,0.75,8.48,4.4,2.63,5.4,1.759,454
2020-10-26T00:00:00.000Z,3.92,32.53,18.73,8.18,20.88,6.449,455
2020-10-27T00:00:00.000Z,2.2,20.55,7.3,5.5,11.07,3.864,438
2020-10-28T00:00:00.000Z,0.6,6.03,2.9,1.8,3.56,1.156,433
2020-10-29T00:00:00.000Z,1.25,20.27,3.95,2.7,7.82,4.648,430
2020-10-30T00:00:00.000Z,1.6,21.75,6.25,4.4,10.66,4.763,452
2020-10-31T00:00:00.000Z,0.9,8.05,3,2.13,3.85,1.3,465
2020-11-01T00:00:00.000Z,3.4,26.5,9.75,6.2,11.55,5.019,456
2020-11-02T00:00:00.000Z,0.2,28.23,2.6,1.2,8.9,5.02,432
2020-11-03T00:00:00.000Z,0.28,6.07,1.3,0.8,1.85,0.879,437
2020-11-04T00:00:00.000Z,0.3,15.13,2.64,1.17,5.8,3.99,328
2020-11-05T00:00:00.000Z,0.63,19.48,6.45,1.7,10.1,5.065,299
2020-11-06T00:00:00.000Z,1.5,29.33,11.35,6.8,16.82,6.405,317
2020-11-07T00:00:00.000Z,3.83,14.7,9.15,7.87,10.32,2.36,381
2020-11-08T00:00:00.000Z,4.25,10.18,6.82,6.22,7.38,1.085,343
2020-11-09T00:00:00.000Z,0.8,5.9,2.22,1.75,2.67,1.066,273
2020-11-10T00:00:00.000Z,0.75,5.45,2.02,1.38,2.5,0.743,315
2020-11-11T00:00:00.000Z,0.5,6.38,2.45,1.7,3.13,1.147,326
2020-11-12T00:00:00.000Z,1.2,15.45,3.85,2.54,6.57,3.051,286
2020-11-13T00:00:00.000Z,1.63,10.82,5.03,3.29,7.57,2.325,297
2020-11-14T00:00:00.000Z,4.65,19.8,7.57,6.53,9.69,2.554,338
2020-11-15T00:00:00.000Z,2.4,31.55,13.84,8.55,16.39,5.262,278
2020-11-16T00:00:00.000Z,5.5,28.13,9.36,7.45,11.65,3.001,262
2020-11-17T00:00:00.000Z,0.98,17.73,5.4,4.72,6.93,2.328,281
2020-11-18T00:00:00.000Z,2.27,10.63,7.46,6.56,8.59,1.41,300
2020-11-19T00:00:00.000Z,6.7,18.32,11.69,9.97,13.97,2.48,324
2020-11-20T00:00:00.000Z,5.09,20.14,13.85,9.96,15.6,3.497,356
2020-11-21T00:00:00.000Z,1.58,8.43,4.2,3.59,4.93,0.996,305
2020-11-22T00:00:00.000Z,2.02,16.45,5.93,5.3,6.4,1.48,299
2020-11-23T00:00:00.000Z,1.27,32.08,7.12,2.95,15.27,8.195,264
2020-11-24T00:00:00.000Z,1.35,20.3,2.75,2.08,4.55,2.812,273
2020-11-25T00:00:00.000Z,1.23,49.45,6.8,2.5,14.66,8.575,277
2020-11-26T00:00:00.000Z,4.13,67.4,10.63,7.89,25.03,14.201,269
2020-11-27T00:00:00.000Z,5.7,87.15,18.63,9.68,41.83,20.682,258
2020-11-28T00:00:00.000Z,5.6,58.6,25.9,12.62,38.36,13.709,269
2020-11-29T00:00:00.000Z,6.6,123.47,33.15,18.38,47.88,21.663,274
2020-11-30T00:00:00.000Z,1.08,72.15,6.53,4.84,19.46,16.321,253
2020-12-01T00:00:00.000Z,3.72,12.95,7.65,6.03,9,1.924,219
2020-12-02T00:00:00.000Z,6.03,27.15,11.74,9.19,16.2,4.521,234
2020-12-03T00:00:00.000Z,11.1,34.47,21.85,18.93,25.47,4.624,232
2020-12-04T00:00:00.000Z,3.5,33,14.22,11.27,18.77,6.146,264
2020-12-05T00:00:00.000Z,9.13,30,18.39,16.13,20.95,3.658,246
2020-12-06T00:00:00.000Z,7,24.13,13.27,10.95,15.52,3.138,260
2020-12-07T00:00:00.000Z,3.9,19.85,10.98,9.32,12.79,2.713,264
2020-12-08T00:00:00.000Z,7.03,17.38,12.52,11.15,13.65,1.928,143
2020-12-09T00:00:00.000Z,3.28,13.48,7.32,6.07,8.4,2.016,87
2020-12-10T00:00:00.000Z,0.38,12.18,5.88,4.42,7.3,2.564,244
2020-12-11T00:00:00.000Z,0.25,8.52,3.22,1.5,4.45,1.742,289
2020-12-12T00:00:00.000Z,1.12,19.82,9.98,4.74,12.83,4.494,301
2020-12-13T00:00:00.000Z,6.28,15.95,10.03,9.03,11.35,1.786,276
2020-12-14T00:00:00.000Z,2.04,17.14,8.07,4.93,10.45,3.271,263
2020-12-15T00:00:00.000Z,2.85,15.65,7.69,5.9,9.18,2.27,294
2020-12-16T00:00:00.000Z,2.8,31.25,14.2,10.32,17.2,4.913,277
2020-12-18T00:00:00.000Z,2.67,6.47,4.09,3.64,4.57,0.73,197
2020-12-19T00:00:00.000Z,2.22,12.25,7.47,5.68,8.55,2.07,273
2020-12-20T00:00:00.000Z,0.6,8.32,3.38,2.5,4.53,1.494,297
2020-12-21T00:00:00.000Z,1.73,10.35,4.03,3.03,5.03,1.446,290
2020-12-22T00:00:00.000Z,2.13,8.5,4.47,3.75,5.43,1.219,283
2020-12-23T00:00:00.000Z,2.78,21.58,8.91,7.07,11.07,3.339,278
2020-12-24T00:00:00.000Z,0.5,11.57,7.32,4.15,8.4,2.763,270
2020-12-25T00:00:00.000Z,0.3,11.18,1.77,1.14,2.83,1.628,304
2020-12-26T00:00:00.000Z,0.63,19.63,5.57,3.33,8.3,3.503,291
2020-12-27T00:00:00.000Z,2,62.42,19.64,11.65,31.98,13.426,298
2020-12-28T00:00:00.000Z,2.2,66.53,14.13,11.17,19.8,10.446,293
2020-12-29T00:00:00.000Z,5.47,25.25,13.02,11.55,14.69,2.767,285
2020-12-30T00:00:00.000Z,5.05,29.35,14.5,10.74,18.22,5.042,268
2020-12-31T00:00:00.000Z,1.42,58.85,5.6,4.37,10.23,7.657,304
2021-01-01T00:00:00.000Z,1.23,70.56,13.02,8.31,25.66,13.939,297
2021-01-02T00:00:00.000Z,0.5,99.3,5.63,3.2,12.84,9.278,269
2021-01-03T00:00:00.000Z,0.4,26.58,5,2,6.84,4.171,252
2021-01-04T00:00:00.000Z,1.12,16.63,5.25,3.78,7.54,2.846,248
2021-01-05T00:00:00.000Z,2.38,89.65,21.23,13.64,37.92,17.125,257
2021-01-06T00:00:00.000Z,1.67,42.8,15.27,9.02,20.49,8.178,236
2021-01-07T00:00:00.000Z,1.27,28.2,5.95,4.63,10,5.179,267
2021-01-08T00:00:00.000Z,1.73,35.2,14.93,5.97,23,9.149,283
2021-01-09T00:00:00.000Z,0.28,46.2,21.58,6.76,26.02,10.912,281
2021-01-10T00:00:00.000Z,0.4,9.32,2.5,2.04,3.17,0.975,270
2021-01-11T00:00:00.000Z,0.2,8.6,1.26,0.4,3.4,2.243,214
2021-01-12T00:00:00.000Z,0.3,35.13,4.8,1.83,8.44,5.782,238
2021-01-13T00:00:00.000Z,0.2,6.7,1.32,0.5,2.29,1.285,254
2021-01-14T00:00:00.000Z,0.82,7.22,2.67,2.17,3.38,1.036,255
2021-01-15T00:00:00.000Z,1.35,8.02,4.5,3.5,5.25,1.177,276
2021-01-16T00:00:00.000Z,2.35,15.85,7.18,5.68,10.49,2.885,249
2021-01-17T00:00:00.000Z,5.22,13.4,8.43,7.2,9.68,1.737,234
2021-01-18T00:00:00.000Z,2.58,20.55,7.85,6.4,9.75,3.037,227
2021-01-19T00:00:00.000Z,0.98,10.02,4.22,3.3,6.15,1.897,210
2021-01-20T00:00:00.000Z,2.04,70.2,6.3,4.67,9.43,12.453,264
2021-01-21T00:00:00.000Z,2.27,36.47,21.35,9.02,25.83,8.903,234
2021-01-22T00:00:00.000Z,5.2,39.03,13.75,11.13,16.92,6.615,251
2021-01-23T00:00:00.000Z,2.88,23.63,14.23,10.9,17.02,4.34,259
2021-01-24T00:00:00.000Z,0.4,29.52,2.79,1.57,3.9,2.423,276
2021-01-25T00:00:00.000Z,0.88,41.2,5.78,3.82,9.88,6.843,241
2021-01-26T00:00:00.000Z,0.82,113.43,21.95,16.22,32.15,19.247,261
2021-01-27T00:00:00.000Z,0.77,47.55,12.3,6.15,21.38,10.598,223
2021-01-28T00:00:00.000Z,6.13,21.98,13.62,10.38,15.4,3.53,58
2021-01-29T00:00:00.000Z,0.68,8.38,3.25,1.95,5.16,1.919,97
2021-01-30T00:00:00.000Z,0.3,40.13,2.67,1.3,5.23,5.777,248
2021-01-31T00:00:00.000Z,0.7,8.4,4.32,3.53,5.4,1.449,263
2021-02-01T00:00:00.000Z,2.29,72.2,15.35,8.63,25.33,10.899,211
2021-02-02T00:00:00.000Z,14.3,103.35,33.03,26.52,54.84,19.916,125
2021-02-04T00:00:00.000Z,3.8,12.7,6.6,6,7.9,1.669,90
2021-02-05T00:00:00.000Z,5.5,31.73,10.74,8.73,14.89,7.19,228
2021-02-06T00:00:00.000Z,13.27,35.97,27.89,24.83,30.38,5.285,234
2021-02-07T00:00:00.000Z,0.9,18.88,5.68,2.6,11.77,4.916,223
2021-02-08T00:00:00.000Z,1.58,28.52,6.19,4.88,9.56,5.714,244
2021-02-09T00:00:00.000Z,2.72,13.27,7.32,6.29,8.61,1.839,237
2021-02-10T00:00:00.000Z,2.13,18.27,6.47,4.97,8.25,2.477,241
2021-02-11T00:00:00.000Z,1.85,12.93,7.93,6.05,9.18,2.191,194
2021-02-12T00:00:00.000Z,1.83,18.07,9.82,7.89,11.51,2.788,233
2021-02-13T00:00:00.000Z,2.5,33.38,12.97,10.43,14.82,4.038,250
2021-02-14T00:00:00.000Z,4.95,44.45,13.65,10.3,16.38,5.317,227
2021-02-15T00:00:00.000Z,5.53,27.88,10.19,8.05,20.3,6.574,231
2021-02-16T00:00:00.000Z,4,19.95,10.35,7.51,13.08,3.497,224
2021-02-17T00:00:00.000Z,3.15,13.8,6.9,5.7,8.55,2.101,213
2021-02-18T00:00:00.000Z,1.83,45.8,5.82,4.3,8.35,5.895,266
2021-02-19T00:00:00.000Z,1,20.35,5.38,3.21,8.3,3.843,221
2021-02-20T00:00:00.000Z,1.33,12.4,5.93,4.25,7.24,2.131,241
2021-02-21T00:00:00.000Z,3.4,22.2,8.69,7.4,11.98,3.751,258
